type,score
diff,0.06896551724137945
diff,0.27586206896551724
diff,0.03448275862068961
diff,0.03448275862068961
diff,0.1724137931034483
diff,0.0
diff,0.0
diff,0.6551724137931035
diff,0.03448275862068961
diff,0.03448275862068961
diff,0.03448275862068961
diff,0.3793103448275863
diff,0.06896551724137923
diff,0.03817733990147787
diff,0.0
diff,0.03817733990147787
diff,0.06896551724137931
diff,0.06896551724137931
diff,0.03448275862068966
diff,0.03448275862068966
diff,0.06896551724137931
diff,0.06896551724137931
diff,0.03448275862068965
diff,0.0
diff,0.0
diff,0.0
diff,0.03448275862068961
diff,0.10344827586206906
diff,0.0
diff,0.6896551724137931
diff,0.6896551724137931
diff,0.06896551724137956
diff,0.1724137931034483
diff,0.0
diff,0.6798029556650247
diff,0.0012315270935959743
diff,0.0
diff,0.06896551724137923
diff,0.06896551724137923
diff,0.0049261083743842304
diff,0.10344827586206898
diff,0.13793103448275862
diff,0.0665024630541872
diff,0.06896551724137945
diff,0.06896551724137945
diff,0.06896551724137931
diff,0.06896551724137931
diff,0.03448275862068966
diff,0.03448275862068966
diff,0.07266009852216748
diff,0.003694581280787923
diff,0.1521164021164022
diff,0.03817733990147787
diff,0.03448275862068965
diff,0.6206896551724138
diff,0.8275862068965517
diff,0.0
diff,0.3448275862068966
diff,0.1724137931034483
diff,0.6896551724137931
diff,0.4482758620689655
diff,0.8965517241379312
diff,0.13793103448275867
diff,0.9310344827586208
diff,0.4482758620689656
diff,0.10344827586206898
diff,0.0
diff,0.37931034482758624
diff,0.13793103448275862
diff,0.0
diff,0.24137931034482757
diff,0.1034482758620689
diff,0.3103448275862069
diff,0.37931034482758624
diff,0.13793103448275867
diff,0.06896551724137945
diff,0.7241379310344827
diff,0.6834975369458127
diff,0.34355044699872284
