subid,itemid,item,answer,ts,ts_in,difference.in.rt.aa,difference.in.rt,bias_atomic,difference.in.moral.score,blockid
4,12,borrow a book,yes,1,1,-2.844622099999923,-3.3044199999999355,pos,0.13793103448275856,3
4,13,borrow a car,no,2,2,-2.844622099999923,0.01727800000003299,pos,-0.206896551724138,3
4,14,borrow money,none,3,3,-2.844622099999923,0.28656260000002565,pos,-0.2745849297573436,3
4,57,pursue a career,yes,6,1,-0.7098749999999538,-0.6540095999999378,pos,-0.06896551724137934,16
4,60,pursue the truth,yes,7,2,-0.7098749999999538,-0.7461125999999465,pos,-0.06896551724137934,16
4,58,pursue money,no,8,3,-0.7098749999999538,0.643250300000034,pos,-0.41379310344827586,16
4,59,pursue my passion,yes,9,4,-0.7098749999999538,-0.721557099999927,pos,0.06896551724137934,16
4,75,travel to Finland,yes,12,1,4.360003900000038,0.7666253000000438,pos,-0.03325123152709364,21
4,76,travel to Italy,yes,13,2,4.360003900000038,0.4594092000000387,pos,-0.03325123152709364,21
4,77,travel to North Korea,no,14,3,4.360003900000038,-0.28479789999994415,pos,-0.6884236453201971,21
4,3,apologize to a stranger,yes,17,1,0.14699419999999463,0.0004584000000136257,pos,0.0,1
4,5,apologize to my girlfriend,yes,18,2,0.14699419999999463,-0.006446400000072572,pos,0.0,1
4,4,apologize to my boyfriend,yes,19,3,0.14699419999999463,-0.01870690000004055,pos,0.0,1
4,49,love my colleagues,no,22,1,0.04443949999995306,3.317136399999981,pos,-0.4137931034482759,14
4,53,love myself,yes,23,2,0.04443949999995306,0.20219120000001567,pos,0.03448275862068961,14
4,50,love my parents,yes,24,3,0.04443949999995306,0.0012539999999603424,pos,-0.07266009852216748,14
4,51,love my pet,yes,25,4,0.04443949999995306,-0.007005100000014863,pos,-0.034482758620689724,14
4,52,love my work,yes,26,5,0.04443949999995306,0.013447600000006332,pos,-0.07266009852216748,14
4,55,misinform my parents,no,29,1,-0.009496699999999691,0.03913170000004129,neg,0.13793103448275862,15
4,54,misinform my friend,no,30,2,-0.009496699999999691,0.07104390000006328,neg,0.0,15
4,56,misinform the public,no,31,3,-0.009496699999999691,-0.014604499999961718,neg,0.034482758620689655,15
4,33,harm animals,no,34,1,-0.3134676000000808,-0.5501917000000275,neg,0.0,9
4,35,harm strangers,no,35,2,-0.3134676000000808,-0.5763518999999632,neg,-0.034482758620689655,9
4,34,harm people,no,36,3,-0.3134676000000808,-0.5358853999999837,neg,-0.034482758620689655,9
4,71,torture my friend,no,39,1,-0.23449539999990066,-0.23558559999992218,neg,0.034482758620689655,20
4,74,torture prisoners,no,40,2,-0.23449539999990066,-0.18640609999999924,neg,0.0,20
4,73,torture people,no,41,3,-0.23449539999990066,-0.22731699999997096,neg,0.0,20
4,72,torture myself,no,42,4,-0.23449539999990066,-0.20625749999999243,neg,0.0,20
4,69,talk to boyfriend,yes,51,1,-0.002480100000070762,0.011066499999969892,pos,0.0,19
4,68,talk to a stranger,yes,52,2,-0.002480100000070762,-0.0232407000000876,pos,-0.06896551724137934,19
4,70,talk to my girlfriend,yes,53,3,-0.002480100000070762,0.0071395999999595006,pos,0.034482758620689724,19
4,19,cuddle a stranger,yes,56,1,0.022068499999932045,1.5020705999999107,pos,-0.6551724137931034,5
4,18,cuddle a prisoner,no,57,2,0.022068499999932045,-0.006081100000074002,pos,-0.6551724137931034,5
4,20,cuddle my partner,yes,58,3,0.022068499999932045,-0.024993100000074264,pos,-0.03448275862068961,5
4,48,lie to my girlfriend,no,61,1,-0.05839339999988624,0.06573580000008405,neg,-0.06896551724137931,13
4,47,lie to my boyfriend,no,62,2,-0.05839339999988624,-0.011150899999961439,neg,-0.06896551724137931,13
4,46,lie to a stranger,no,63,3,-0.05839339999988624,-0.0767511999999897,neg,0.1724137931034483,13
4,16,compliment to a stranger,yes,66,1,-0.02126359999999755,-0.019539699999995774,pos,0.0,4
4,15,compliment to a serial killer,yes,67,2,-0.02126359999999755,1.8911452000000963,pos,-0.6798029556650247,4
4,17,compliment to my date,yes,68,3,-0.02126359999999755,-0.0043540000000348855,pos,-0.0012315270935960854,4
4,2,acknowledge the reviewers,yes,71,1,-0.0330740999999079,0.01468650000003896,pos,0.0024630541871920597,0
4,1,acknowledge related works,yes,72,2,-0.0330740999999079,-0.09743140000000489,pos,0.0714285714285714,0
4,0,acknowledge my coworkers,yes,73,3,-0.0330740999999079,-0.10371359999987811,pos,0.0714285714285714,0
4,80,waste time,no,76,1,0.09745520000001306,-0.020882699999901916,neg,0.0049261083743842304,22
4,78,waste energy,no,77,2,0.09745520000001306,0.008165900000108195,neg,-0.10344827586206896,22
4,81,waste water,no,78,3,0.09745520000001306,0.006646600000181024,neg,-0.13793103448275862,22
4,79,waste money,no,79,4,0.09745520000001306,0.0531680999999935,neg,-0.0665024630541872,22
4,63,smile to my friend,yes,82,1,-0.02472640000007692,-0.1262862000000951,pos,0.03448275862068961,17
4,62,smile to a stranger,yes,83,2,-0.02472640000007692,-0.11582740000017111,pos,0.03448275862068961,17
4,61,smile to a murderer,none,84,3,-0.02472640000007692,4.584597299999928,pos,-0.7179802955665024,17
4,65,steal money,no,87,1,-0.06313709999994899,0.009057500000039909,neg,-0.034482758620689655,18
4,67,steal time,no,88,2,-0.06313709999994899,-0.03781479999997828,neg,0.10344827586206896,18
4,64,steal a friend's girlfriend,no,89,3,-0.06313709999994899,-0.022663199999897188,neg,0.0,18
4,66,steal other's work,no,90,4,-0.06313709999994899,-0.03616139999996898,neg,0.0,18
4,32,greet my guests,yes,102,1,0.0030345000000123745,0.01057630000002513,pos,0.07266009852216748,8
4,29,greet my boss,yes,103,2,0.0030345000000123745,0.018996499999957395,pos,0.003694581280788145,8
4,30,greet my enemy,yes,104,3,0.0030345000000123745,0.004823400000077471,pos,-0.1521164021164022,8
4,31,greet my friend,yes,105,4,0.0030345000000123745,0.01796419999993759,pos,0.03817733990147776,8
4,44,kill people,no,108,1,3.4067416999999978,0.005725800000050185,neg,-0.06896551724137931,12
