waste time,-9.216411672377191,6.0247
waste energy,-9.21280494462297,3.1091
become evil,-9.21044574823986,-6.4134
be an evil person,-9.082549615569562,-4.4912
waste money,-8.436658177981355,2.291
be a bad person,-8.261056840787644,1.5221
divorce my husband,-7.94646805535571,2.7108
harm friends,-7.870894716360252,-5.0235
lie to my boyfriend,-7.764687544713549,5.3795
be an asshole,-7.501731512887535,1.3575
kill a killer,-7.483498220960555,-8.4337
lie to my husband,-7.456763824167161,4.2019
divorce my wife,-7.277505414109836,1.8785
harm animals,-7.021848729910918,-1.0325
harm people,-7.01129540740712,-5.396
lie to my girlfriend,-7.002826142676494,4.8829
lie to my wife,-6.727488018699895,3.8394
steal other's work,-6.2623939091168666,2.8574
eat dirt,-6.093581491518858,0.1008
kill people,-6.051562551936827,-5.4661
steal time,-5.628268720345184,3.9325
kill time,-5.462970465579733,-7.1723
lie to a friend,-5.26008200361685,4.0121
have a gun to hunt animals,-4.930068095300081,-2.0055
steal money,-4.699228663672702,-0.9718
have a gun to kill people,-4.4118278751708875,-5.5787
greet my enemy,-4.205391034546674,-2.1199
help a thief,-2.6708459532686213,-0.4904
trust strangers,-2.2630949614518037,4.8174
eat meat,-1.288581076792773,-5.0233
marry my boyfriend,-0.7305107711579182,-2.6708
travel to Germany,-0.5261091562315542,1.4444
go to cinema,-0.38494463026889403,-1.2316
go to work,-0.3647660575877414,-1.8436
marry my girlfriend,-0.20020428235927298,-2.6901
eat vegetables,0.515832375009577,-2.6947
travel to North Korea,0.6976382735046478,-0.2166
travel to Africa,0.9066245760546958,1.2887
travel to United States,1.7651919348232852,1.747
love my pet,2.5668300715145245,0.4602
trust a machine,2.7776072665925717,1.0582
go to church,2.9260843694040464,-2.3335
have a life partner,2.9305537911218833,-0.7156
love my work,3.242462727222302,-2.5525
trust my friends,3.917604717011263,-1.0493
become a good parent,4.137860196868568,-1.297
help old people,4.261587338661587,-0.8088
become a better person,4.643329376114618,-0.862
trust humans,4.800574296230662,-0.4553
love my colleagues,5.0187633337482636,-1.1458
eat healthy,5.278178720137616,-5.054
love myself,5.359120307585233,0.2481
be moral,5.476413761114797,-0.8656
be a good person,6.449222011239301,-0.375
have fun,6.669054561108498,0.9195
greet my guests,7.051195884505989,0.1072
