smile,-11.7308
thank,-11.6446
compliment,-11.2935
congratulate,-11.011
comfort,-10.7248
greet,-10.6091
welcome,-10.5845
admire,-10.4405
hug,-9.249
appreciate,-9.1745
enjoy,-8.7695
celebrate,-8.4816
relax,-8.4418
charm,-8.2014
love,-7.2094
inspire,-7.1727
cheer,-6.9739
have,-6.8117
help,-6.3823
care,-6.2361
volunteer,-6.0029
travel,-5.6281
dream,-5.5878
be,-5.5158
talk,-5.4877
drink,-4.8608
become,-4.6543
marry,-3.887
go,-3.7824
cuddle,-3.6628
clap,-2.4403
eat,-2.1943
cherish,-2.0851
treasure,-1.6881
have a gun,-1.4212
pursue,-0.7352
bully,1.994
apologize,2.0067
divorce,2.3829
steal,3.5687
rape,4.6161
lie,5.3635
pollute,6.3111
damage,6.6972
poison,6.943
assault,7.3103
blame,7.485
harm,7.5864
torture,7.7983
attack,8.0122
kill,8.0147
illegalize,8.807
misinform,9.1959
murder,9.2936
slander,9.3742
waste,9.9113
slaughter,10.3124
misreport,10.6592
misadvise,10.7648
destroy,11.6064
misdirect,11.7514
traumatize,12.2714
victimise,13.1833
brutalise,13.5534
destruct,14.0018
