slander,-9.7779
waste,-9.5263
destroy,-9.5204
poison,-9.1293
illegalize,-9.1113
brutalise,-8.6251
destruct,-8.2927
rape,-7.9044
lie,-7.643
torture,-7.4563
pollute,-7.45
divorce,-7.3432
slaughter,-7.3287
bully,-7.2933
misdirect,-6.904
murder,-6.8285
harm,-6.8188
assault,-6.4946
steal,-6.3749
misadvise,-6.3463
misreport,-6.286
kill,-6.1956
misinform,-6.1023
attack,-5.5918
blame,-5.2358
damage,-4.6029
traumatize,-4.5379
victimise,-4.3547
have a gun,-1.6068
go,-0.4068
drink,0.583
dream,0.6584
apologize,1.6581
clap,1.9748
cuddle,1.9944
volunteer,2.0731
treasure,2.0777
travel,2.2171
eat,2.8195
marry,2.9609
care,3.0488
pursue,3.826
cheer,4.2868
become,4.4503
have,5.0599
inspire,5.3312
be,5.4772
talk,5.528
relax,5.9577
cherish,6.8412
help,7.0232
hug,7.0979
charm,7.1175
appreciate,7.3315
celebrate,7.3446
comfort,7.4943
love,7.7961
enjoy,8.1063
greet,8.995
admire,9.8128
compliment,10.4819
congratulate,10.5302
thank,10.8444
smile,10.8606
welcome,11.4293
