harm people,-10.242126808989136,-5.2258
become evil,-10.031109144964379,-3.9353
be an evil person,-9.82757787280039,-4.2383
kill people,-9.22885383955628,-6.8718
kill a killer,-9.160481603222896,-7.536
be a bad person,-8.013514707637013,-1.6908
kill time,-7.024925751222435,-2.24
have a gun to kill people,-6.596824343467123,-6.8898
harm friends,-6.31178004204407,-2.7149
harm animals,-6.153206155445057,-5.3761
be an asshole,-5.919645991273982,0.2492
have a gun to hunt animals,-5.159609517877884,-7.2031
eat meat,-5.142348978014596,-8.9432
waste energy,-4.0646839263131,3.6729
waste money,-3.8842981228300406,3.4996
eat dirt,-3.7879955937798475,-1.6023
steal money,-1.9190596967805023,2.9079
divorce my husband,-1.545078411779618,3.75
steal other's work,-1.4636444694375605,2.96
steal time,-1.4514261618155164,6.0622
lie to my husband,-1.3387864503117919,5.5571
have fun,-0.9934931842091466,0.8636
greet my enemy,-0.9523198180933133,-4.6269
lie to my wife,-0.9117385473855335,3.7489
waste time,-0.8319741891744421,1.0875
travel to North Korea,-0.7476609276279442,-1.4087
divorce my wife,-0.6492957966927715,2.3201
eat vegetables,-0.5781615293871791,-1.7621
lie to my boyfriend,-0.569818325624917,4.7016
go to cinema,-0.451870175249241,-3.5837
lie to my girlfriend,-0.3494726771542265,3.2834
lie to a friend,-0.2537345768480306,7.6132
travel to Africa,0.020340037982852558,0.577
travel to United States,0.7191552595932645,1.7754
eat healthy,1.6500164562367226,-1.5424
love myself,2.4973715318134944,-3.3666
be moral,2.6105548890807766,-1.9386
help a thief,2.616143189580805,2.2248
become a better person,2.950058804623131,-0.1657
go to work,3.0819659361861955,-2.3553
become a good parent,3.7685756492272278,-3.4576
be a good person,3.8251667104775295,-0.8393
travel to Germany,4.200239440217241,-0.9985
have a life partner,4.2370206785901905,-5.3111
trust strangers,4.724040052457015,1.7999
trust a machine,4.9050841544829495,-1.1729
help old people,5.817516187018016,0.9848
marry my girlfriend,5.818788848906775,-6.3274
marry my boyfriend,5.9465440617238565,-6.4435
trust my friends,6.3060606924469615,0.509
trust humans,6.474186486755912,-2.2784
go to church,6.649700166856388,-4.1112
love my work,6.9555005140731705,-3.2916
love my pet,8.006012877446476,-5.9965
greet my guests,8.315133180852806,-1.647
love my colleagues,8.496658521943926,-2.2913
