be a good person,-12.967574202696644,0.2304
greet my guests,-11.881949982205146,-2.6237
become a good parent,-11.415467960086147,-1.9954
love my colleagues,-11.36322140778699,-3.7276
love my work,-11.277257407509701,-3.8416
love my pet,-11.185121665678386,-3.7791
eat healthy,-10.377086885268739,-2.6928
trust my friends,-9.814372935068974,0.3982
have fun,-9.522497165211062,-1.1658
become a better person,-9.459855502905993,-1.1489
trust humans,-9.332362542693385,3.7409
have a life partner,-9.176711521216703,-2.6554
love myself,-7.67442983784578,-1.7604
marry my girlfriend,-6.922272424321079,-4.515
help old people,-6.645809255447636,-0.0439
marry my boyfriend,-6.05723681434691,-5.233
trust a machine,-5.909571084561316,0.7194
go to church,-5.594709739853474,-2.9528
be moral,-5.419325133625127,1.9756
travel to North Korea,-4.489250404575045,-1.8502
travel to United States,-4.489250404575045,-1.8502
travel to Germany,-4.35382500892794,-2.3332
travel to Africa,-4.35382500892794,-2.3332
trust strangers,-3.6850016055708377,4.8515
go to work,-3.202438178223073,-2.4284
eat vegetables,-2.2596580834032496,0.3431
kill time,-1.6465551694940788,0.9507
go to cinema,-1.5902931742819286,-0.7458
eat meat,-0.892623455291365,-9.9799
lie to a friend,1.6219343248145157,-1.3111
steal time,1.814866042964308,0.1608
lie to my girlfriend,2.0966401962703802,-1.5476
lie to my wife,2.1849657298270575,-1.7565
lie to my boyfriend,3.0722389173952327,-2.3267
help a thief,3.3830039616115677,-1.2593
lie to my husband,3.451616607182882,-1.8338
divorce my wife,3.476678030078712,6.2119
have a gun to hunt animals,3.48406830917268,-10.3146
divorce my husband,3.6334739204445534,5.857
greet my enemy,4.0773721457086465,-6.0919
steal other's work,4.258779220042998,-3.2091
eat dirt,5.4231854814456035,-2.1974
steal money,6.398080462710268,-4.3908
have a gun to kill people,7.744402101051148,-9.9789
harm animals,7.789745957773089,-2.8253
harm friends,8.101000632780567,-0.9181
harm people,8.429444367289472,-0.4018
waste money,9.601636358435252,0.4953
waste time,9.62055561871783,2.808
kill a killer,9.63888643589102,-7.5606
be an asshole,9.650258538444477,1.3463
kill people,9.763210110011046,-5.572
waste energy,10.197049521459869,1.3876
be a bad person,12.196185394436391,2.0256
be an evil person,12.349400726325486,0.5533
become evil,13.289515509099244,0.7795
