welcome,-7.9075
smile,-7.4394
congratulate,-6.9268
thank,-6.8808
hug,-6.4636
compliment,-6.2946
greet,-6.0488
appreciate,-5.9921
cheer,-5.9715
cherish,-5.9213
enjoy,-5.7588
admire,-5.7178
celebrate,-5.6309
cuddle,-5.3202
comfort,-5.1293
love,-5.1026
relax,-4.9945
inspire,-4.7599
clap,-4.7348
volunteer,-4.6588
help,-4.4257
have,-3.7132
be,-3.4495
travel,-3.093
charm,-3.0133
pursue,-2.6796
drink,-2.6136
marry,-2.5424
talk,-2.3078
care,-1.8806
eat,-1.8036
dream,-1.3619
treasure,-1.1482
become,-0.9991
go,-0.9832
apologize,0.3454
lie,1.8867
have a gun,2.5811
misreport,2.8404
misadvise,2.8908
misdirect,2.9513
damage,3.5036
misinform,3.5602
blame,3.9155
divorce,4.4835
pollute,4.6961
slander,4.9501
attack,5.1067
steal,5.1493
waste,5.2778
traumatize,5.3494
destruct,5.5606
harm,5.7166
torture,5.8326
victimise,5.8576
illegalize,6.0125
rape,6.2307
bully,6.3677
assault,6.7199
poison,6.9436
kill,7.4003
brutalise,7.8194
murder,7.8332
destroy,7.9369
slaughter,7.9494
