smile,-12.2779
compliment,-11.8629
welcome,-11.7431
thank,-11.5583
congratulate,-11.5554
admire,-11.3148
greet,-10.5565
comfort,-10.3224
appreciate,-9.9848
enjoy,-9.5891
hug,-9.5695
love,-9.4975
celebrate,-9.2595
charm,-9.1621
inspire,-8.4689
cheer,-7.9975
relax,-7.8298
have,-7.2781
help,-7.1506
drink,-7.0974
marry,-6.7357
care,-6.574
talk,-5.7025
be,-5.4566
clap,-5.2362
volunteer,-4.9209
eat,-4.6312
dream,-4.5758
travel,-4.1225
cuddle,-3.8623
become,-3.7116
go,-3.3606
cherish,-2.8639
have a gun,-2.0749
pursue,-2.0482
treasure,-2.0265
apologize,2.3507
divorce,4.4847
steal,5.4911
bully,6.8865
lie,6.9983
rape,8.1546
assault,8.2375
misinform,8.3856
damage,8.4299
misadvise,8.56
harm,8.5641
torture,8.6116
blame,8.7394
pollute,8.7816
attack,9.1053
kill,9.1393
slander,9.4098
misdirect,9.6089
illegalize,9.9789
poison,10.152
murder,10.2173
waste,10.4507
traumatize,10.602
misreport,10.6661
slaughter,10.9716
brutalise,11.7983
victimise,11.808
destroy,12.2845
destruct,13.1115
